symbol,sectors
ADANIENT,Energy
ADANIPORTS,Infrastructure
APOLLOHOSP,Healthcare
ASIANPAINT,Consumer Goods
AXISBANK,Banking
BAJAJ-AUTO,Automobile
BAJAJFINSV,Financial Services
BAJFINANCE,Financial Services
BEL,Defense
BHARTIARTL,Telecom
BPCL,Energy
BRITANNIA,Consumer Goods
CIPLA,Pharmaceutical
COALINDIA,Energy
DRREDDY,Pharmaceutical
EICHERMOT,Automobile
GRASIM,Cement & Materials
HCLTECH,IT
HDFCBANK,Banking
HDFCLIFE,Insurance
HEROMOTOCO,Automobile
HINDALCO,Metals
HINDUNILVR,Consumer Goods
ICICIBANK,Banking
INDUSINDBK,Banking
INFY,IT
ITC,Consumer Goods
JSWSTEEL,Metals
KOTAKBANK,Banking
LT,Infrastructure
M&M,Automobile
MARUTI,Automobile
NESTLEIND,Consumer Goods
NTPC,Energy
ONGC,Energy
POWERGRID,Energy
RELIANCE,Conglomerate
SBILIFE,Insurance
SBIN,Banking
SHRIRAMFIN,Financial Services
SUNPHARMA,Pharmaceutical
TATACONSUM,Consumer Goods
TATAMOTORS,Automobile
TATASTEEL,Metals
TCS,IT
TECHM,IT
TITAN,Consumer Goods
TRENT,Retail
ULTRACEMCO,Cement & Materials
WIPRO,IT
