Symbol,Close,Date,High,Low,Month,Open,Volume,Sector
ADANIENT,2217.3,01-11-2023 05:30,2312.25,2207,2023-11,2299,1666579,Energy
ADANIENT,2215.3,02-11-2023 05:30,2297.95,2204.2,2023-11,2247,2340997,Energy
ADANIENT,2229.85,03-11-2023 05:30,2279,2215,2023-11,2215.3,1853300,Energy
ADANIENT,2246,06-11-2023 05:30,2260,2233,2023-11,2253.95,770061,Energy
ADANIENT,2233.35,07-11-2023 05:30,2260,2226.65,2023-11,2257,641554,Energy
ADANIENT,2259.95,08-11-2023 05:30,2298,2235,2023-11,2245.3,1169180,Energy
ADANIENT,2214.65,09-11-2023 05:30,2272.6,2210.1,2023-11,2269,1267890,Energy
ADANIENT,2205.1,10-11-2023 05:30,2237,2198.5,2023-11,2220.25,1072597,Energy
ADANIENT,2211.35,12-11-2023 05:30,2226,2205.1,2023-11,2219.7,148320,Energy
ADANIENT,2213.65,13-11-2023 05:30,2241.9,2195.55,2023-11,2215.5,853633,Energy
ADANIENT,2225.4,15-11-2023 05:30,2250,2220.5,2023-11,2240,696475,Energy
ADANIENT,2205.9,16-11-2023 05:30,2232.8,2196.1,2023-11,2226,1307584,Energy
ADANIENT,2208.8,17-11-2023 05:30,2237.95,2201,2023-11,2205.9,916518,Energy
ADANIENT,2149.85,20-11-2023 05:30,2218.5,2142,2023-11,2211,1577213,Energy
ADANIENT,2196.65,21-11-2023 05:30,2232.55,2158.35,2023-11,2160,1839502,Energy
ADANIENT,2172.65,22-11-2023 05:30,2225,2153.5,2023-11,2205.15,1247205,Energy
ADANIENT,2175.25,23-11-2023 05:30,2190,2160.6,2023-11,2190,729114,Energy
ADANIENT,2225.45,24-11-2023 05:30,2251.95,2160.9,2023-11,2179,1946259,Energy
ADANIENT,2423.5,28-11-2023 05:30,2512.4,2275,2023-11,2301,11972275,Energy
ADANIENT,2396.6,29-11-2023 05:30,2477.65,2390,2023-11,2468.7,4561574,Energy
ADANIENT,2358.55,30-11-2023 05:30,2409,2343.05,2023-11,2400.05,2983879,Energy
ADANIENT,2217.3,01-11-2023 05:30,2312.25,2207,2023-11,2299,1666579,Energy
ADANIENT,2215.3,02-11-2023 05:30,2297.95,2204.2,2023-11,2247,2340997,Energy
ADANIENT,2229.85,03-11-2023 05:30,2279,2215,2023-11,2215.3,1853300,Energy
ADANIENT,2246,06-11-2023 05:30,2260,2233,2023-11,2253.95,770061,Energy
ADANIENT,2233.35,07-11-2023 05:30,2260,2226.65,2023-11,2257,641554,Energy
ADANIENT,2259.95,08-11-2023 05:30,2298,2235,2023-11,2245.3,1169180,Energy
ADANIENT,2214.65,09-11-2023 05:30,2272.6,2210.1,2023-11,2269,1267890,Energy
ADANIENT,2205.1,10-11-2023 05:30,2237,2198.5,2023-11,2220.25,1072597,Energy
ADANIENT,2211.35,12-11-2023 05:30,2226,2205.1,2023-11,2219.7,148320,Energy
ADANIENT,2213.65,13-11-2023 05:30,2241.9,2195.55,2023-11,2215.5,853633,Energy
ADANIENT,2225.4,15-11-2023 05:30,2250,2220.5,2023-11,2240,696475,Energy
ADANIENT,2205.9,16-11-2023 05:30,2232.8,2196.1,2023-11,2226,1307584,Energy
ADANIENT,2208.8,17-11-2023 05:30,2237.95,2201,2023-11,2205.9,916518,Energy
ADANIENT,2149.85,20-11-2023 05:30,2218.5,2142,2023-11,2211,1577213,Energy
ADANIENT,2196.65,21-11-2023 05:30,2232.55,2158.35,2023-11,2160,1839502,Energy
ADANIENT,2172.65,22-11-2023 05:30,2225,2153.5,2023-11,2205.15,1247205,Energy
ADANIENT,2175.25,23-11-2023 05:30,2190,2160.6,2023-11,2190,729114,Energy
ADANIENT,2225.45,24-11-2023 05:30,2251.95,2160.9,2023-11,2179,1946259,Energy
ADANIENT,2423.5,28-11-2023 05:30,2512.4,2275,2023-11,2301,11972275,Energy
ADANIENT,2396.6,29-11-2023 05:30,2477.65,2390,2023-11,2468.7,4561574,Energy
ADANIENT,2358.55,30-11-2023 05:30,2409,2343.05,2023-11,2400.05,2983879,Energy
ADANIENT,2362.7,01-12-2023 05:30,2403.35,2354.1,2023-12,2370,1792983,Energy
ADANIENT,2531.2,04-12-2023 05:30,2595,2487.45,2023-12,2549.95,5681516,Energy
ADANIENT,2959.35,05-12-2023 05:30,2999.9,2531.2,2023-12,2531.2,22879079,Energy
ADANIENT,2883.95,06-12-2023 05:30,3154.55,2844.85,2023-12,3080,19355777,Energy
ADANIENT,2887.15,07-12-2023 05:30,2945.9,2853.05,2023-12,2900,6325887,Energy
ADANIENT,2822.15,08-12-2023 05:30,2927,2760,2023-12,2902.7,6959428,Energy
ADANIENT,2855.8,11-12-2023 05:30,2919.9,2811.05,2023-12,2837.05,5064123,Energy
ADANIENT,2857.65,12-12-2023 05:30,2895.95,2840.55,2023-12,2869.1,2017772,Energy
ADANIENT,2875.05,13-12-2023 05:30,2899.1,2805,2023-12,2860,2805832,Energy
ADANIENT,2894.05,14-12-2023 05:30,2932.95,2887,2023-12,2900.95,3224681,Energy
ADANIENT,2991.8,15-12-2023 05:30,3000,2893.9,2023-12,2912.05,4921484,Energy
ADANIENT,2980.6,18-12-2023 05:30,3027.75,2961.1,2023-12,2993.95,2315922,Energy
ADANIENT,2941.25,19-12-2023 05:30,2994.35,2915,2023-12,2988.8,1741493,Energy
ADANIENT,2783.85,20-12-2023 05:30,2968,2766.2,2023-12,2946,3417739,Energy
ADANIENT,2799.75,21-12-2023 05:30,2821.95,2725,2023-12,2750,2678577,Energy
ADANIENT,2808.35,22-12-2023 05:30,2847.6,2791.4,2023-12,2815.95,1513956,Energy
ADANIENT,2865.45,26-12-2023 05:30,2893.75,2800.1,2023-12,2817,2048484,Energy
ADANIENT,2843.35,27-12-2023 05:30,2894.8,2833.6,2023-12,2880.7,1698325,Energy
ADANIENT,2809.9,28-12-2023 05:30,2867.35,2800.1,2023-12,2855,4102912,Energy
ADANIENT,2848.95,29-12-2023 05:30,2863.3,2802.85,2023-12,2823.9,1507086,Energy
ADANIENT,2917.2,01-01-2024 05:30,2947,2842.05,2024-01,2852.3,2898619,Energy
ADANIENT,2932.4,02-01-2024 05:30,2948.2,2841,2024-01,2922,2671368,Energy
ADANIENT,3003,03-01-2024 05:30,3199,2955.6,2024-01,3047,19725411,Energy
ADANIENT,2998.3,04-01-2024 05:30,3044.45,2990,2024-01,3039.4,2975620,Energy
ADANIENT,3006.6,05-01-2024 05:30,3066.9,2981.1,2024-01,3009.95,3219949,Energy
ADANIENT,2963.5,08-01-2024 05:30,3027,2952.95,2024-01,3020,1849061,Energy
ADANIENT,3014.6,09-01-2024 05:30,3068.8,2980,2024-01,2990.7,2885706,Energy
ADANIENT,3098.2,10-01-2024 05:30,3112,3020.05,2024-01,3024,3590297,Energy
ADANIENT,3080.9,11-01-2024 05:30,3129,3065,2024-01,3120,2008103,Energy
ADANIENT,3104.1,12-01-2024 05:30,3125,3068.2,2024-01,3096.35,1795933,Energy
ADANIENT,3089.5,15-01-2024 05:30,3130,3067.45,2024-01,3127,1407007,Energy
ADANIENT,3056.5,16-01-2024 05:30,3104.5,3035,2024-01,3095,2515564,Energy
ADANIENT,2971.05,17-01-2024 05:30,3045,2946.3,2024-01,3033,2897218,Energy
ADANIENT,2918.9,18-01-2024 05:30,2985,2885.1,2024-01,2975.55,2552342,Energy
ADANIENT,2915.65,19-01-2024 05:30,2949.45,2903.05,2024-01,2945.35,2014096,Energy
ADANIENT,2987.9,20-01-2024 05:30,3015.85,2890.5,2024-01,2930,1878793,Energy
ADANIENT,2896.55,23-01-2024 05:30,3014.95,2885.5,2024-01,3014.95,1827002,Energy
ADANIENT,2903.45,24-01-2024 05:30,2929.1,2871.25,2024-01,2901,5807940,Energy
ADANIENT,2893.6,25-01-2024 05:30,2926.35,2804.4,2024-01,2903.45,2601969,Energy
ADANIENT,3064.65,29-01-2024 05:30,3092.7,2923.05,2024-01,2929,4402976,Energy
